UZAName,Year,VRH,Category
"Blacksburg, VA",2012,94691,Non-Rail
"Blacksburg, VA",2013,95596,Non-Rail
"Blacksburg, VA",2014,96361,Non-Rail
"Blacksburg, VA",2015,92180,Non-Rail
"Blacksburg, VA",2016,91329,Non-Rail
"Blacksburg, VA",2017,100636,Non-Rail
"Blacksburg, VA",2018,109464,Non-Rail
"Blacksburg, VA",2019,114021,Non-Rail
"Blacksburg, VA",2020,94423,Non-Rail
"Blacksburg, VA",2021,28934,Non-Rail
"Bloomington, IN",2011,103804,Non-Rail
"Bloomington, IN",2012,107954,Non-Rail
"Bloomington, IN",2013,107296,Non-Rail
"Bloomington, IN",2014,107244,Non-Rail
"Bloomington, IN",2015,110500,Non-Rail
"Bloomington, IN",2016,109627,Non-Rail
"Bloomington, IN",2017,108567,Non-Rail
"Bloomington, IN",2018,109923,Non-Rail
"Bloomington, IN",2019,110468,Non-Rail
"Bloomington, IN",2020,86656,Non-Rail
"Bloomington, IN",2021,21893,Non-Rail
"Bloomington-Normal, IL",2011,111000,Non-Rail
"Bloomington-Normal, IL",2012,110329,Non-Rail
"Bloomington-Normal, IL",2013,112984,Non-Rail
"Bloomington-Normal, IL",2014,117430,Non-Rail
"Bloomington-Normal, IL",2015,116723,Non-Rail
"Bloomington-Normal, IL",2016,129226,Non-Rail
"Bloomington-Normal, IL",2017,142540,Non-Rail
"Bloomington-Normal, IL",2018,140540,Non-Rail
"Bloomington-Normal, IL",2019,139260,Non-Rail
"Bloomington-Normal, IL",2020,122342,Non-Rail
"Bloomington-Normal, IL",2021,32026,Non-Rail
"Boise City, ID",2011,116438,Non-Rail
"Boise City, ID",2012,116786,Non-Rail
"Boise City, ID",2013,119410,Non-Rail
"Boise City, ID",2014,121237,Non-Rail
"Boise City, ID",2015,121058,Non-Rail
"Boise City, ID",2016,136315,Non-Rail
"Boise City, ID",2017,166540,Non-Rail
"Boise City, ID",2018,179223,Non-Rail
"Boise City, ID",2019,182713,Non-Rail
"Boise City, ID",2020,138141,Non-Rail
"Boise City, ID",2021,36706,Non-Rail
"Bonita Springs, FL",2011,137343,Non-Rail
"Bonita Springs, FL",2012,130228,Non-Rail
"Bonita Springs, FL",2013,118519,Non-Rail
"Bonita Springs, FL",2014,117650,Non-Rail
"Bonita Springs, FL",2015,126423,Non-Rail
"Bonita Springs, FL",2016,128735,Non-Rail
"Bonita Springs, FL",2017,131845,Non-Rail
"Bonita Springs, FL",2018,143211,Non-Rail
"Bonita Springs, FL",2019,146762,Non-Rail
"Bonita Springs, FL",2020,120828,Non-Rail
"Bonita Springs, FL",2021,30925,Non-Rail
"Boston, MA-NH-RI",2011,4722825,Non-Rail
"Boston, MA-NH-RI",2011,2847036,Rail
"Boston, MA-NH-RI",2012,4705544,Non-Rail
"Boston, MA-NH-RI",2012,2861502,Rail
"Boston, MA-NH-RI",2013,4485514,Non-Rail
"Boston, MA-NH-RI",2013,2813445,Rail
"Boston, MA-NH-RI",2014,4483317,Non-Rail
"Boston, MA-NH-RI",2014,2798726,Rail
"Boston, MA-NH-RI",2015,4367419,Non-Rail
"Boston, MA-NH-RI",2015,2894741,Rail
"Boston, MA-NH-RI",2016,4436290,Non-Rail
"Boston, MA-NH-RI",2016,3026859,Rail
"Boston, MA-NH-RI",2017,4628792,Non-Rail
"Boston, MA-NH-RI",2017,3045567,Rail
"Boston, MA-NH-RI",2018,4949304,Non-Rail
"Boston, MA-NH-RI",2018,3069707,Rail
"Boston, MA-NH-RI",2019,5119883,Non-Rail
"Boston, MA-NH-RI",2019,3010856,Rail
"Boston, MA-NH-RI",2020,3651868,Non-Rail
"Boston, MA-NH-RI",2020,2735343,Rail
"Boston, MA-NH-RI",2021,930355,Non-Rail
"Boston, MA-NH-RI",2021,574736,Rail
"Boulder, CO",2020,43362,Non-Rail
"Bowling Green, KY",2011,19988,Non-Rail
"Bremerton, WA",2011,236044,Non-Rail
"Bremerton, WA",2012,227583,Non-Rail
"Bremerton, WA",2013,234326,Non-Rail
"Bremerton, WA",2014,248476,Non-Rail
"Bremerton, WA",2015,249758,Non-Rail
"Bremerton, WA",2016,241884,Non-Rail
"Bremerton, WA",2017,249915,Non-Rail
"Bremerton, WA",2018,256815,Non-Rail
"Bremerton, WA",2019,279786,Non-Rail
"Bremerton, WA",2020,194606,Non-Rail
"Bremerton, WA",2021,46051,Non-Rail
"Bridgeport-Stamford, CT-NY",2011,583870,Non-Rail
"Bridgeport-Stamford, CT-NY",2012,558911,Non-Rail
"Bridgeport-Stamford, CT-NY",2013,560127,Non-Rail
"Bridgeport-Stamford, CT-NY",2014,565732,Non-Rail
"Bridgeport-Stamford, CT-NY",2015,563054,Non-Rail
"Bridgeport-Stamford, CT-NY",2016,565669,Non-Rail
"Bridgeport-Stamford, CT-NY",2017,547059,Non-Rail
"Bridgeport-Stamford, CT-NY",2018,539720,Non-Rail
"Bridgeport-Stamford, CT-NY",2019,532457,Non-Rail
"Bridgeport-Stamford, CT-NY",2020,443717,Non-Rail
"Bridgeport-Stamford, CT-NY",2021,110836,Non-Rail
"Brownsville, TX",2011,87570,Non-Rail
"Brownsville, TX",2012,83000,Non-Rail
"Brownsville, TX",2013,81483,Non-Rail
"Brownsville, TX",2014,99315,Non-Rail
"Brownsville, TX",2015,100677,Non-Rail
"Brownsville, TX",2016,94220,Non-Rail
"Brownsville, TX",2017,93892,Non-Rail
"Brownsville, TX",2018,93529,Non-Rail
"Brownsville, TX",2019,75125,Non-Rail
"Brownsville, TX",2020,64952,Non-Rail
"Brownsville, TX",2021,15723,Non-Rail
"Buffalo, NY",2011,905810,Non-Rail
"Buffalo, NY",2011,88696,Rail
"Buffalo, NY",2012,892408,Non-Rail
"Buffalo, NY",2012,86671,Rail
"Buffalo, NY",2013,871925,Non-Rail
"Buffalo, NY",2013,86285,Rail
"Buffalo, NY",2014,882984,Non-Rail
"Buffalo, NY",2014,83160,Rail
"Buffalo, NY",2015,878698,Non-Rail
"Buffalo, NY",2015,83762,Rail
"Buffalo, NY",2016,884387,Non-Rail
"Buffalo, NY",2016,83878,Rail
"Buffalo, NY",2017,877840,Non-Rail
"Buffalo, NY",2017,83919,Rail
"Buffalo, NY",2018,888025,Non-Rail
"Buffalo, NY",2018,80841,Rail
"Buffalo, NY",2019,899781,Non-Rail
"Buffalo, NY",2019,83932,Rail
"Buffalo, NY",2020,821694,Non-Rail
"Buffalo, NY",2020,89361,Rail
"Buffalo, NY",2021,194070,Non-Rail
"Buffalo, NY",2021,19351,Rail
"Burlington, VT",2011,130590,Non-Rail
"Burlington, VT",2012,137081,Non-Rail
"Burlington, VT",2013,143203,Non-Rail
"Burlington, VT",2014,136722,Non-Rail
"Burlington, VT",2015,139094,Non-Rail
"Burlington, VT",2016,136756,Non-Rail
"Burlington, VT",2017,132487,Non-Rail
"Burlington, VT",2018,168607,Non-Rail
"Burlington, VT",2019,234152,Non-Rail
"Burlington, VT",2020,201237,Non-Rail
"Burlington, VT",2021,51044,Non-Rail
"Canton, OH",2011,191938,Non-Rail
"Canton, OH",2012,193336,Non-Rail
"Canton, OH",2013,190878,Non-Rail
"Canton, OH",2014,203525,Non-Rail
"Canton, OH",2015,208682,Non-Rail
"Canton, OH",2016,212902,Non-Rail
"Canton, OH",2017,209213,Non-Rail
"Canton, OH",2018,210856,Non-Rail
"Canton, OH",2019,212464,Non-Rail
"Canton, OH",2020,185211,Non-Rail
"Canton, OH",2021,46417,Non-Rail
"Cape Coral, FL",2011,249490,Non-Rail
"Cape Coral, FL",2012,257309,Non-Rail
"Cape Coral, FL",2013,258535,Non-Rail
"Cape Coral, FL",2014,258968,Non-Rail
"Cape Coral, FL",2015,269916,Non-Rail
"Cape Coral, FL",2016,278736,Non-Rail
"Cape Coral, FL",2017,279619,Non-Rail
"Cape Coral, FL",2018,296476,Non-Rail
"Cape Coral, FL",2019,292318,Non-Rail
"Cape Coral, FL",2020,255096,Non-Rail
"Cape Coral, FL",2021,78961,Non-Rail
"Carbondale, IL",2012,84862,Non-Rail
"Carbondale, IL",2013,181655,Non-Rail
"Carbondale, IL",2014,185409,Non-Rail
"Carbondale, IL",2015,190070,Non-Rail
"Carbondale, IL",2016,209743,Non-Rail
"Carbondale, IL",2017,240827,Non-Rail
"Carbondale, IL",2018,270750,Non-Rail
"Carbondale, IL",2019,265073,Non-Rail
"Carbondale, IL",2020,152927,Non-Rail
"Carbondale, IL",2021,4803,Non-Rail
"Casper, WY",2011,41139,Non-Rail
"Cedar Rapids, IA",2011,96724,Non-Rail
"Cedar Rapids, IA",2012,90488,Non-Rail
"Cedar Rapids, IA",2013,88187,Non-Rail
"Cedar Rapids, IA",2014,86047,Non-Rail
"Cedar Rapids, IA",2015,84357,Non-Rail
"Cedar Rapids, IA",2016,89403,Non-Rail
"Cedar Rapids, IA",2017,99126,Non-Rail
"Cedar Rapids, IA",2018,96125,Non-Rail
"Cedar Rapids, IA",2019,96744,Non-Rail
"Cedar Rapids, IA",2020,69124,Non-Rail
"Cedar Rapids, IA",2021,20756,Non-Rail
"Champaign, IL",2011,274630,Non-Rail
"Champaign, IL",2012,289149,Non-Rail
"Champaign, IL",2013,305311,Non-Rail
"Champaign, IL",2014,301223,Non-Rail
"Champaign, IL",2015,303980,Non-Rail
"Champaign, IL",2016,310456,Non-Rail
"Champaign, IL",2017,308989,Non-Rail
"Champaign, IL",2018,325734,Non-Rail
"Champaign, IL",2019,324606,Non-Rail
"Champaign, IL",2020,300629,Non-Rail
"Champaign, IL",2021,76504,Non-Rail
"Charleston, WV",2011,166011,Non-Rail
"Charleston, WV",2012,165831,Non-Rail
"Charleston, WV",2013,166154,Non-Rail
"Charleston, WV",2014,165962,Non-Rail
"Charleston, WV",2015,163551,Non-Rail
"Charleston, WV",2016,155102,Non-Rail
"Charleston, WV",2017,151731,Non-Rail
"Charleston, WV",2018,148893,Non-Rail
"Charleston, WV",2019,144863,Non-Rail
"Charleston, WV",2020,132218,Non-Rail
